date,cases,country
16/06/2020,43,China
15/06/2020,47,China
14/06/2020,60,China
13/06/2020,12,China
12/06/2020,7,China
11/06/2020,11,China
10/06/2020,4,China
09/06/2020,3,China
08/06/2020,5,China
07/06/2020,9,China
06/06/2020,6,China
05/06/2020,11,China
04/06/2020,1,China
03/06/2020,5,China
02/06/2020,7,China
01/06/2020,19,China
31/05/2020,5,China
30/05/2020,17,China
29/05/2020,0,China
28/05/2020,3,China
27/05/2020,1,China
26/05/2020,7,China
25/05/2020,11,China
24/05/2020,3,China
23/05/2020,2,China
22/05/2020,12,China
21/05/2020,2,China
20/05/2020,2,China
19/05/2020,9,China
18/05/2020,10,China
17/05/2020,6,China
16/05/2020,9,China
15/05/2020,5,China
14/05/2020,6,China
13/05/2020,7,China
12/05/2020,1,China
11/05/2020,19,China
10/05/2020,15,China
09/05/2020,0,China
08/05/2020,6,China
07/05/2020,2,China
06/05/2020,2,China
05/05/2020,2,China
04/05/2020,3,China
03/05/2020,2,China
02/05/2020,3,China
01/05/2020,12,China
30/04/2020,4,China
29/04/2020,2,China
28/04/2020,26,China
27/04/2020,3,China
26/04/2020,10,China
25/04/2020,15,China
24/04/2020,8,China
23/04/2020,12,China
22/04/2020,15,China
21/04/2020,32,China
20/04/2020,14,China
19/04/2020,18,China
18/04/2020,31,China
17/04/2020,352,China
16/04/2020,50,China
15/04/2020,49,China
14/04/2020,94,China
13/04/2020,112,China
12/04/2020,93,China
11/04/2020,79,China
10/04/2020,55,China
09/04/2020,86,China
08/04/2020,86,China
07/04/2020,56,China
06/04/2020,67,China
05/04/2020,48,China
04/04/2020,62,China
03/04/2020,70,China
02/04/2020,100,China
01/04/2020,54,China
31/03/2020,84,China
30/03/2020,98,China
29/03/2020,113,China
28/03/2020,119,China
27/03/2020,94,China
26/03/2020,102,China
25/03/2020,78,China
24/03/2020,69,China
23/03/2020,138,China
22/03/2020,65,China
21/03/2020,52,China
20/03/2020,99,China
19/03/2020,44,China
18/03/2020,23,China
17/03/2020,43,China
16/03/2020,25,China
15/03/2020,22,China
14/03/2020,19,China
13/03/2020,22,China
12/03/2020,24,China
11/03/2020,29,China
10/03/2020,20,China
09/03/2020,45,China
08/03/2020,46,China
07/03/2020,101,China
06/03/2020,170,China
05/03/2020,117,China
04/03/2020,119,China
03/03/2020,127,China
02/03/2020,205,China
01/03/2020,574,China
29/02/2020,428,China
28/02/2020,329,China
27/02/2020,439,China
26/02/2020,410,China
25/02/2020,515,China
24/02/2020,218,China
23/02/2020,647,China
22/02/2020,826,China
21/02/2020,891,China
20/02/2020,394,China
19/02/2020,1750,China
18/02/2020,1890,China
17/02/2020,2052,China
16/02/2020,2007,China
15/02/2020,2538,China
14/02/2020,4156,China
13/02/2020,15141,China
12/02/2020,2028,China
11/02/2020,2490,China
10/02/2020,2974,China
09/02/2020,2607,China
08/02/2020,3418,China
07/02/2020,3160,China
06/02/2020,3727,China
05/02/2020,3872,China
04/02/2020,3237,China
03/02/2020,2812,China
02/02/2020,2590,China
01/02/2020,2095,China
31/01/2020,1980,China
30/01/2020,1740,China
29/01/2020,1466,China
28/01/2020,1753,China
27/01/2020,787,China
26/01/2020,665,China
25/01/2020,441,China
24/01/2020,259,China
23/01/2020,97,China
22/01/2020,140,China
21/01/2020,151,China
20/01/2020,19,China
19/01/2020,136,China
18/01/2020,17,China
17/01/2020,4,China
16/01/2020,0,China
15/01/2020,0,China
14/01/2020,0,China
13/01/2020,0,China
12/01/2020,0,China
11/01/2020,0,China
10/01/2020,0,China
09/01/2020,0,China
08/01/2020,0,China
07/01/2020,0,China
06/01/2020,0,China
05/01/2020,15,China
04/01/2020,0,China
03/01/2020,17,China
02/01/2020,0,China
01/01/2020,0,China
31/12/2019,27,China
16/06/2020,10667,India
15/06/2020,11502,India
14/06/2020,11929,India
13/06/2020,11458,India
12/06/2020,10956,India
11/06/2020,9996,India
10/06/2020,9985,India
09/06/2020,9987,India
08/06/2020,9983,India
07/06/2020,9971,India
06/06/2020,9887,India
05/06/2020,9851,India
04/06/2020,9304,India
03/06/2020,8909,India
02/06/2020,8171,India
01/06/2020,8392,India
31/05/2020,8380,India
30/05/2020,7964,India
29/05/2020,7466,India
28/05/2020,6566,India
27/05/2020,6387,India
26/05/2020,6535,India
25/05/2020,6977,India
24/05/2020,6767,India
23/05/2020,6654,India
22/05/2020,6088,India
21/05/2020,5609,India
20/05/2020,5611,India
19/05/2020,4970,India
18/05/2020,5242,India
17/05/2020,4987,India
16/05/2020,3970,India
15/05/2020,3967,India
14/05/2020,3722,India
13/05/2020,3525,India
12/05/2020,3604,India
11/05/2020,4213,India
10/05/2020,3277,India
09/05/2020,3320,India
08/05/2020,3390,India
07/05/2020,3561,India
06/05/2020,2958,India
05/05/2020,3900,India
04/05/2020,2553,India
03/05/2020,2644,India
02/05/2020,2293,India
01/05/2020,1993,India
30/04/2020,1718,India
29/04/2020,1897,India
28/04/2020,1543,India
27/04/2020,1396,India
26/04/2020,1990,India
25/04/2020,1429,India
24/04/2020,1684,India
23/04/2020,1409,India
22/04/2020,1384,India
21/04/2020,1335,India
20/04/2020,1553,India
19/04/2020,1334,India
18/04/2020,991,India
17/04/2020,1007,India
16/04/2020,942,India
15/04/2020,1075,India
14/04/2020,1211,India
13/04/2020,796,India
12/04/2020,909,India
11/04/2020,1035,India
10/04/2020,678,India
09/04/2020,540,India
08/04/2020,773,India
07/04/2020,354,India
06/04/2020,693,India
05/04/2020,472,India
04/04/2020,601,India
03/04/2020,336,India
02/04/2020,568,India
01/04/2020,146,India
31/03/2020,180,India
30/03/2020,92,India
29/03/2020,106,India
28/03/2020,149,India
27/03/2020,75,India
26/03/2020,87,India
25/03/2020,70,India
24/03/2020,53,India
23/03/2020,119,India
22/03/2020,89,India
21/03/2020,40,India
20/03/2020,26,India
19/03/2020,28,India
18/03/2020,12,India
17/03/2020,32,India
16/03/2020,3,India
15/03/2020,7,India
14/03/2020,8,India
13/03/2020,2,India
12/03/2020,23,India
11/03/2020,6,India
10/03/2020,10,India
08/03/2020,3,India
07/03/2020,2,India
06/03/2020,1,India
05/03/2020,22,India
04/03/2020,1,India
03/03/2020,2,India
02/03/2020,0,India
01/03/2020,0,India
29/02/2020,0,India
28/02/2020,0,India
27/02/2020,0,India
26/02/2020,0,India
25/02/2020,0,India
24/02/2020,0,India
23/02/2020,0,India
22/02/2020,0,India
21/02/2020,0,India
20/02/2020,0,India
19/02/2020,0,India
18/02/2020,0,India
17/02/2020,0,India
16/02/2020,0,India
15/02/2020,0,India
14/02/2020,0,India
13/02/2020,0,India
12/02/2020,0,India
11/02/2020,0,India
10/02/2020,0,India
09/02/2020,0,India
08/02/2020,0,India
07/02/2020,0,India
06/02/2020,0,India
05/02/2020,0,India
04/02/2020,1,India
03/02/2020,0,India
02/02/2020,1,India
01/02/2020,0,India
31/01/2020,0,India
30/01/2020,1,India
29/01/2020,0,India
28/01/2020,0,India
27/01/2020,0,India
26/01/2020,0,India
25/01/2020,0,India
24/01/2020,0,India
23/01/2020,0,India
22/01/2020,0,India
21/01/2020,0,India
20/01/2020,0,India
19/01/2020,0,India
18/01/2020,0,India
17/01/2020,0,India
16/01/2020,0,India
15/01/2020,0,India
14/01/2020,0,India
13/01/2020,0,India
12/01/2020,0,India
11/01/2020,0,India
